Year,Annual CO₂ emissions,Total CO₂ emissions,Annual Temperature Anomaly
1945,4257136000,2.03683E+11,0.15
1946,4646123500,2.08329E+11,-0.04
1947,5145782000,2.13475E+11,0
1948,5424953000,2.189E+11,-0.07
1949,5181006000,2.24081E+11,-0.06
1950,5929342000,2.3001E+11,-0.13
1951,6381405700,2.36392E+11,-0.03
1952,6467437000,2.42859E+11,0.05
1953,6650861600,2.4951E+11,0.1
1954,6789497300,2.563E+11,-0.09
1955,7443861000,2.63743E+11,-0.12
1956,7925980700,2.71669E+11,-0.16
1957,8185614000,2.79855E+11,0.06
1958,8417160000,2.88272E+11,0.09
1959,8854662000,2.97127E+11,0.07
1960,9386421000,3.06513E+11,0.01
1961,9414383000,3.15928E+11,0.08
1962,9746556000,3.25674E+11,0.05
1963,10266046000,3.3594E+11,0.07
1964,10823619000,3.46764E+11,-0.17
1965,11309690000,3.58074E+11,-0.08
1966,11861708000,3.69935E+11,-0.03
1967,12236328000,3.82172E+11,0.01
1968,12904336000,3.95076E+11,-0.05
1969,13760840000,4.08837E+11,0.1
1970,14898157000,4.23735E+11,0.05
1971,15502787000,4.39238E+11,-0.06
1972,16223440000,4.55461E+11,0.06
1973,17083500000,4.72545E+11,0.19
1974,17009382000,4.89554E+11,-0.05
1975,17049979000,5.06604E+11,0.01
1976,17985243000,5.24589E+11,-0.05
1977,18494652000,5.43084E+11,0.2
1978,19063955000,5.62148E+11,0.1
1979,19603001000,5.81751E+11,0.2
1980,19482442000,6.01233E+11,0.31
1981,19016950000,6.2025E+11,0.35
1982,18865373000,6.39116E+11,0.17
1983,18985900000,6.58102E+11,0.35
1984,19641730000,6.77743E+11,0.19
1985,20305132000,6.98048E+11,0.16
1986,20607515000,7.18656E+11,0.22
1987,21245784000,7.39902E+11,0.34
1988,22077385000,7.61979E+11,0.4
1989,22378970000,7.84358E+11,0.28
1990,22752700000,8.07111E+11,0.45
1991,23229475000,8.3034E+11,0.42
1992,22567199000,8.52907E+11,0.24
1993,22798350000,8.75706E+11,0.27
1994,23034776000,8.98741E+11,0.33
1995,23524491000,9.22265E+11,0.48
1996,24250161000,9.46515E+11,0.35
1997,24395952000,9.70911E+11,0.49
1998,24330945000,9.95242E+11,0.63
1999,24833495000,1.02008E+12,0.41
2000,25501286000,1.04558E+12,0.41
2001,25674930000,1.07125E+12,0.55
2002,26248288000,1.0975E+12,0.62
2003,27648650000,1.12515E+12,0.63
2004,28620194000,1.15377E+12,0.56
2005,29592103000,1.18336E+12,0.7
2006,30605767000,1.21397E+12,0.66
2007,31499735000,1.24547E+12,0.65
2008,32041902000,1.27751E+12,0.54
2009,31493265000,1.309E+12,0.67
2010,33306330000,1.34231E+12,0.74
2011,34436470000,1.37674E+12,0.61
2012,34935450000,1.41168E+12,0.65
2013,35232470000,1.44691E+12,0.68
2014,35466195000,1.48238E+12,0.75
2015,35463213000,1.51784E+12,0.91
2016,35460026000,1.5533E+12,1.03
2017,36025455000,1.58933E+12,0.94
2018,36766945000,1.62609E+12,0.87
2019,37040103000,1.66313E+12,0.98
2020,35007738000,1.69814E+12,1.01
2021,36816544000,1.73496E+12,0.86
